INST_NM,CERT_NBR,BranchNBR,INST_DEPOSIT,id
Baraboo State Bank,12788,9,373516,2946
Lake Delton State Bank,12788,9,373516,2947
Reedsburg State Bank,12788,9,373516,2948
Fairmont Federal Credit Union,3439,9,0,2949
Cattlemans National Bank,35015,9,195621,2950
Heritage Community Credit Union,68395,8,0,2951
Omega Federal Credit Union,3711,8,332641,2952
Peoples Bank,1147,8,302557,2953
SafeAmerica Credit Union,97093,8,0,2954
Farmers Bank of Northern Missouri,4539,8,278733,2955
California Community Credit Union,68321,8,0,2956
First Century Federal Credit Union,275,8,137390,2957
FirsTier Bank,57646,8,0,2958
"Vectra Bank Colorado, National Association",2993,8,0,2959
Patriot Federal Credit Union,16574,8,279550033,2960
First Security Bank-Sleepy Eye,5252,8,164523,2961
Banesco USA,57815,8,750174,2962
First State Bank & Trust,14974,8,220334,2963
Members 1st Community Credit Union,62918,8,0,2964
Bridgewater Bank,58210,8,673367,2965
CMAR Credit Union,19659,8,0,2966
Omni National Bank,22238,8,0,2967
United Central Bank,25330,8,0,2968
TVA Credit Union,68559,8,0,2969
American Bank & Trust Company,17906,8,155259,2970
Rayne State Bank & Trust Company,16075,8,323540,2971
First Glynn Bank,57252,8,329359,2972
First Effingham Bank,57252,8,329359,2973
"First National Bank Ames, Iowa",1545,8,583184,2974
Farmers & Merchants National Bank of Nashville,3821,8,143589,2975
Patriots Bank,18019,8,79191,2976
First National Bank & Trust,2704,8,166116,2977
City Savings Bank & Trust Company,10534,8,273804,2978
First National Bank in De Ridder,14427,8,207838,2979
North Brookfield Savings Bank,90258,8,210082,2980
Southbridge Savings Bank,23524,8,0,2981
Rollstone Bank & Trust,17797,8,384380,2982
Oakland County Credit Union,61522,8,1245747,2983
Postal Credit Union,62978,8,0,2984
First Federal Bank,31077,8,140736,2985
Farmers State Bank,9935,8,69744,2986
Service First Federal Credit Union,77,8,134965,2987
INSOUTH Bank,22020,8,256756,2988
Amarillo Community Federal Credit Union,5168,8,54830,2989
First National Bank,17643,8,285495,2990
Nevada Bank & Trust Company,22669,8,96685,2991
Credit Union of New Jersey,65597,8,4330952,2992
"Liberty Savings Bank, FSB",26891,8,162203,2993
Bank 21,8560,8,81186,2994
Mazuma Credit Union,64084,8,0,2995
White Rock Bank,10168,8,224153,2996
TopLine Federal Credit Union,24568,8,386052,2997
Saint Johns Bank & Trust Company,8898,8,270012,2998
Gateway Metro Federal Credit Union,24797,8,0,2999
"Bank of Kentucky, Inc",33022,8,0,3000
Claremont Savings Bank,18038,8,278000,3001
First National Bank of Ipswich,2595,8,285712,3002
Belmont Savings Bank,23901,8,1155864,3003
Farmers & Merchants Bank,11286,8,363864,3004
HeritageBank of the South,50028,8,0,3005
Harbor Bank of Maryland,24015,8,205512,3006
IBM Southeast Employees Federal Credit Union,19659,8,0,3007
WIT Federal Credit Union,14836,8,141957594,3008
Christian Financial Credit Union,63805,8,237987918,3009
Milford Bank,16101,8,350731,3010
Pioneer Valley Federal Credit Union,24443,8,36963,3011
Legacy Bank,12699,8,217553,3012
BrightStar Credit Union,67347,8,0,3013
Mountain Commerce Bank,4931,8,390208,3014
City State Bank,14410,8,264668,3015
First National Bank of Griffin,169,8,218945,3016
BankSouth,77,8,134965,3017
SunWest Federal Credit Union,2226,8,0,3018
Fulton Savings Bank,15966,8,241148,3019
Phenix Federal Credit Union,19659,8,0,3020
Compass Bank,57298,8,1159171,3021
Cornerstone Financial Credit Union,67972,8,0,3022
Phenix FCU,19659,8,0,3023
Ambler Savings Bank,28701,8,263058,3024
My Credit Union,68545,8,0,3025
"Pendleton Community Bank, Inc",6176,8,228320,3026
66 Federal Credit Union,3130,8,0,3027
Hoffman Estates Community Bank,34395,8,1162786,3028
Southern Middlesex Teachers Federal Credit Union,3126,8,1169569000,3029
International Bank,11492,8,259192,3030
1st National Bank,6646,8,114520,3031
Village Bank,26336,8,730330,3032
Day-Air Credit Union Inc,66835,8,260618,3033
Platte Valley Bank,34211,8,412211,3034
First Laurens Bank,872,8,179562,3035
Miami Firefighters Federal Credit Union,872,8,179562,3036
United Teletech Financial Federal Credit Union,18195,8,0,3037
F&M Bank,14922,8,224022,3038
"F&M Bank, National Association",14922,8,224022,3039
Bank of Commerce,26217,8,168736,3040
Franklin Savings Bank,17951,8,312178,3041
MountainOne Bank,90253,8,576977,3042
Union Bank,14722,8,144113,3043
"Morgantown Bank & Trust Company, Inc",275,8,137390,3044
Buena Vista National Bank,10844,8,178679,3045
BankOrion,11739,8,355340,3046
Community Bank of Marshall,22636,8,123511,3047
Anoka Hennepin Credit Union,60148,8,0,3048
LBS Financial Credit Union,68460,8,0,3049
Progressive Bank,22139,8,407492,3050
1st Bank Yuma,57298,8,1159171,3051
First Educators Credit Union,60934,8,0,3052
Partner Credit Union,62903,8,0,3053
Mission Bank,34805,8,382220,3054
Canyon State Credit Union,68502,8,0,3055
Members First Credit Union,66376,8,1086292000,3056
First Southwest Bank,57741,8,226991,3057
eCO Credit Union,65464,8,0,3058
Beacon Credit Union,66965,8,134398,3059
Suwannee River Federal Credit Union,1086,8,190359,3060
NorthCountry Federal Credit Union,24312,8,0,3061
Bank of Las Vegas,12258,8,263487,3062
Del Norte Credit Union,64759,8,0,3063
Greater Chautauqua Federal Credit Union,3759,8,4137454,3064
First New York Federal Credit Union,2440,8,0,3065
POWERCO Credit Union Inc,66376,8,1086292000,3066
Emery Federal Credit Union,3360,8,0,3067
First National Bank of McConnelsville,6637,8,120427,3068
Oklahoma Employees Credit Union,65032,8,0,3069
First National Bank & Trust Company,25738,8,223111,3070
First National Bank in Altus,4031,8,210575,3071
Reliance Savings Bank,30117,8,303392,3072
"Swineford National Bank, Middleburg",7774,8,251503,3073
Waumandee State Bank,10384,8,144515,3074
First Bank,10007,8,206762,3075
Miners Exchange Bank,23989,8,95724,3076
Security Bank,2391,8,140045,3077
Memphis City Employees Credit Union,60239,8,0,3078
Peoples Trust Federal Credit Union,177,8,1086292000,3079
American National Bank,24472,8,308184,3080
First Abilene Federal Credit Union,13290,8,240444,3081
Texas First State Bank,15300,8,339277,3082
Citizens State Bank,19806,8,219057,3083
TexStar National Bank,57704,8,190507,3084
"Classic Bank, National Association",3126,8,1169569000,3085
Virginia Community Bank,22331,8,190596,3086
Transportation Federal Credit Union,3140,8,121347,3087
Treasury Department Federal Credit Union,162,8,0,3088
Vermont Federal Credit Union,24405,8,0,3089
Industrial Credit Union of Whatcom County,66337,8,0,3090
Great Northwest Federal Credit Union,24606,8,0,3091
Community 1st Credit Union,60079,8,0,3092
Port Washington State Bank,8698,8,441023,3093
Grant County Bank,11953,8,202177,3094
MCNB Bank & Trust Company,6803,8,256257,3095
Oconee Federal Savings & Loan Association,30111,8,395750,3096
"First Neighbor Bank, National Association",3747,8,264178,3097
"Sunrise Banks, National Association",18561,8,735994,3098
Abacus Federal Savings Bank,32257,8,190922,3099
Mountain Laurel Federal Credit Union,20053,8,57109409,3100
Telbec Federal Credit Union,15632,8,448151,3101
First Metro Bank,27381,8,495210,3102
EverTrust Bank,34010,8,569137,3103
Apollo Bank,35599,8,442141,3104
"Beverly Bank & Trust Company,National Association",57701,8,741595,3105
First Peoples Community Federal Credit Union,13345,8,0,3106
Peoples Bank,12885,8,189660,3107
Valley Bank of Ronan,24966,8,85794,3108
National Bank of Coxsackie,7018,8,245883,3109
First American International Bank,35186,8,445538,3110
"FNB Bank, National Association",7459,8,268938,3111
Rivers Edge Bank,9935,8,69744,3112
First National Bank of Granbury,3228,8,429166,3113
Treynor State Bank,14812,8,231311,3114
Align Credit Union,66365,8,0,3115
Oregonians Federal Credit Union,68669,8,0,3116
United Consumers Credit Union,68410,8,0,3117
Metro Health Services Federal Credit Union,7091,8,0,3118
Frazer Bank,4031,8,210575,3119
Marion Center Bank,7909,8,242677,3120
Appalachian Community Federal Credit Union,24495,8,0,3121
Ardent Credit Union,22637,8,0,3122
First Century Bank,1700,8,230511,3123
Partner Colorado Credit Union,62903,8,0,3124
Crockett National Bank,24561,8,442381,3125
Railroad & Industrial Federal Credit Union,24703,8,17246612,3126
Kaw Valley Bank,9665,8,289388,3127
Alterra Bank,15229,8,1056243,3128
First Farmers & Merchants National Bank,10168,8,224153,3129
State Bank of Liberty,18528,8,80107,3130
Carolina Alliance Bank,58432,8,355981,3131
Paradise Valley Federal Credit Union,11953,8,202177,3132
Greenfield Banking Company,15632,8,448151,3133
First Community National Bank,1639,8,179868,3134
National United,3214,8,537115,3135
Community First Bank,35020,8,292156,3136
Matanuska Valley Federal Credit Union,5924,8,98120237,3137
First Bank,14885,8,441282,3138
Alabama Central Credit Union,60712,8,0,3139
MTC Federal Credit Union,22520,8,0,3140
NUCOR Employees Credit Union,61028,8,17246612,3141
AlaTrust Credit Union,60934,8,0,3142
First Southern State Bank,2829,8,325086,3143
Bank of Gravett,5636,8,101509,3144
Grand Savings Bank,32084,8,282703,3145
Truity Credit Union,3130,8,0,3146
Fedex Employees Credit Association,21751,8,0,3147
Bank of England,13303,8,242234,3148
Lonoke Banking Center,13303,8,242234,3149
Carlisle Banking Center,13303,8,242234,3150
Scott Banking Center,13303,8,242234,3151
Mayo Employees Federal Credit Union,24748,8,0,3152
Pima Federal Credit Union,7316,8,0,3153
Partners Federal Credit Union,18708,8,0,3154
First US Community Credit Union,68474,8,0,3155
Ukrainian Federal Credit Union,8854,8,194285086,3156
Alliance Credit Union,68441,8,0,3157
Signal Financial Federal Credit Union,5571,8,0,3158
"Presidential Bank, FSB",32363,8,478422,3159
New Castle County Employees Federal Credit Union,17687,8,467031,3160
FMB,11286,8,363864,3161
Pineland Bank,15699,8,78513,3162
Publix Employees Federal Credit Union,23020,8,0,3163
Saint Josephs Hospital Federal Credit Union,13902,8,15195,3164
Community Credit Union,60816,8,0,3165
Jetstream Federal Credit Union,24718,8,0,3166
Peoples Alliance Federal Credit Union,3633,8,1069425000,3167
Powerco Federal Credit Union,359,8,0,3168
First Chatham Bank,57252,8,329359,3169
"First Effingham Bank, A Division of First Chatham",57252,8,329359,3170
State Bank of Cochran,872,8,179562,3171
Community Bank of Johnson County,872,8,179562,3172
Brand Banking Company,878,8,1729069,3173
Earlham Savings Bank,5796,8,237218,3174
Anna-Jonesboro National Bank,3759,8,4137454,3175
"Dieterich Bank, National Association",3787,8,486743,3176
First National Bank of Waterloo,3842,8,332897,3177
Hoyne Savings Bank,28747,8,219889,3178
Selfreliance Ukrainian American FCU,7346,8,1069425000,3179
Odell Bank,16982,8,402586,3180
Dwight Bank,16982,8,402586,3181
Bluestem National Bank,16982,8,402586,3182
Bank of Pontiac,16982,8,402586,3183
First National Bank of Ottawa,3719,8,246846,3184
Midwest Bank,3711,8,332641,3185
NorStates Bank,18626,8,383957,3186
"Barrington Bank & Trust Company, National Assoc",34395,8,1162786,3187
Streator National Bank,3719,8,246846,3188
Spring Grove State Bank,22971,8,144532,3189
Harvard Savings Bank,22971,8,144532,3190
Wonder Lake State Bank,22971,8,144532,3191
Johnsburg State Bank,22971,8,144532,3192
Lakemoor State Bank,22971,8,144532,3193
Hebron State Bank,22971,8,144532,3194
Farmers State Bank of Medora,13902,8,15195,3195
Warren-Boynton State Bank,11674,8,99292,3196
GCS Credit Union,68623,8,194285086,3197
"Beverly Bank & Trust Company, National Association",57701,8,741595,3198
Hyde Park Bank & Trust Company,57701,8,741595,3199
Oak Lawn Bank & Trust,57701,8,741595,3200
First National Bank of Evergreen Park,57701,8,741595,3201
Palatine Band & Trust Company,34395,8,1162786,3202
Hanover Park Community Bank,34395,8,1162786,3203
Elements Financial Federal Credit Union,22468,8,730330,3204
Financial Center First Credit Union,68658,8,0,3205
Goppert State Service Bank,17317,8,137954,3206
First Business Bank,15229,8,1056243,3207
Union State Bank,1869,8,201525,3208
Farmers Bank,17317,8,137954,3209
"Peoples Bank of Kentucky, Inc",16970,8,221161,3210
First National Bank of Grayson,2695,8,209809,3211
Gibsland Bank & Trust Company,16689,8,309213,3212
Progressive National Bank,24443,8,36963,3213
Evangeline Bank & Trust Company,12611,8,450396,3214
Greater New Orleans Federal Credit Union,404,8,83602,3215
Williamstown Savings Bank,90253,8,576977,3216
Adams Community Bank,90140,8,327557,3217
Athol Savings Bank,90146,8,288808,3218
Bay State Savings Bank,90311,8,266946,3219
Leominster Credit Union,66699,8,0,3220
Jeanne DArc Credit Union,67352,8,0,3221
First Ipswich Bank,2595,8,285712,3222
Saint Annes Credit Union of Fall River,67605,8,0,3223
Mechanics Cooperative Bank,26634,8,387876,3224
Mutual Bank,29755,8,333664,3225
Chessie Federal Credit Union,5636,8,101509,3226
"CNB Bank, Inc",14507,8,242817,3227
Harford Bank,19101,8,244699,3228
Queenstown Bank of Maryland,8816,8,388157,3229
Maine Savings Federal Credit Union,14565,8,0,3230
"Northern Interstate Bank, NA",13784,8,81851,3231
Community Financial Credit Union,68631,8,0,3232
Honor Bank,8165,8,167822,3233
Lake Osceola State Bank,8172,8,162839,3234
LAFCU,68632,8,0,3235
Border State Bank,15684,8,319215,3236
Associated Healthcare Credit Union,60466,8,0,3237
Midwest Bank,9737,8,302850,3238
Ideal Credit Union,62978,8,0,3239
Liberty Bank Minnesota,26891,8,162203,3240
Credit Union at Forest Lake,60148,8,0,3241
Peoples Savings Bank of Rhineland,15264,8,196038,3242
Platte Valley Bank of Missouri,14869,8,376948,3243
"Tipton Latham Bank, National Association",1941,8,99617,3244
Neighbors Credit Union,62905,8,0,3245
Bank of Versailles,1086,8,190359,3246
Bank of Sullivan,8892,8,328015,3247
First Community Bank,2176,8,224717,3248
Yellowstone Bank,1978,8,501890,3249
Farmers State Bank,342,8,294088,3250
Carolina Federal Credit Union,19788,8,337545,3251
Dakota Heritage Bank of North Dakota,16231,8,160556,3252
Ramsey National Bank,3914,8,229930,3253
First United Bank,15472,8,152919,3254
Elkhorn Valley Bank & Trust,16553,8,646719,3255
First National Bank Northeast,5432,8,222575,3256
Union Pacific Streamliner Federal Credit Union,2260,8,250030,3257
Mainstreet Bank,18528,8,80107,3258
Merrimack County Savings Bank,17960,8,522770,3259
Granite State Credit Union,63272,8,0,3260
Northern State Bank,58054,8,526995,3261
First Commerce Bank,58054,8,526995,3262
ABCO Federal Credit Union,12679,8,0,3263
South Jersey Gas Employees Federal Credit Union,9737,8,302850,3264
Citizens Bank,3140,8,121347,3265
Southwest Capital Bank,12258,8,263487,3266
Niagaras Choice Federal Credit Union,8693,8,687484,3267
Bank of Akron,13290,8,240444,3268
Reliant Community Federal Credit Union,20258,8,0,3269
CFCU Community Credit Union,68322,8,0,3270
Saratogas Community Federal Credit Union,5252,8,164523,3271
Hamlin Bank & Trust Company,11113,8,360969,3272
Sidney Federal Credit Union,6011,8,0,3273
Wallkill Valley Federal Savings & Loan Association,28870,8,134256,3274
Firelands Federal Credit Union,11674,8,99292,3275
Associated School Employees Credit Union Inc,68587,8,0,3276
First National Bank in New Bremen,14836,8,141957594,3277
Pathways Financial Credit Union,66376,8,1086292000,3278
Bayer Heritage Federal Credit Union,11836,8,50701551,3279
Central National Bank & Trust Company of Enid,4091,8,523135,3280
NBC Oklahoma,4032,8,528764,3281
Oklahomas Credit Union,65032,8,0,3282
F&M Bank,12761,8,315297,3283
Farmers State Bank,404,8,83602,3284
Oregonians Credit Union,68669,8,0,3285
Red Canoe Credit Union,68196,8,0,3286
Klamath Public Employees Federal Credit Union,6176,8,228320,3287
Cross Valley Federal Credit Union,19228,8,0,3288
Healthcare First Credit Union,65013,8,279550033,3289
Swineford National Bank,7774,8,251503,3290
First Federal Savings & Loan Assoc of Greene Cnty,28706,8,775837,3291
Police & Fire Federal Credit Union,2551,8,57109409,3292
"Community First Bank, Inc",32838,8,304687,3293
Southern First Bank,35295,8,898500,3294
First National Bank of South Carolina,2107,8,151174,3295
"Southern First Bank, National Association",35295,8,898500,3296
Farmers & Merchants Bank of South Carolina,1660,8,232072,3297
Reliabank Dakota,16221,8,245274,3298
BankTennessee,29177,8,233018,3299
FirstBank Southwest,3387,8,858640,3300
Peoples Bank,19788,8,337545,3301
FirstBank & Trust,14778,8,689940,3302
Commercial State Bank,17687,8,467031,3303
First National Bank of Santo,3145,8,288182,3304
Ciera Bank,3226,8,398510,3305
Bank of Jacksboro,3145,8,288182,3306
First National Bank of Mineral Wells,3145,8,288182,3307
DATCU Credit Union,67535,8,0,3308
Comanche National Bank,3145,8,288182,3309
Educators Credit Union,67611,8,441409000,3310
Citizens State Bank,12501,8,678929,3311
Texas State Bank,12504,8,103440,3312
First State Bank of Uvalde,9978,8,1251276,3313
First Texas Bank,11935,8,525027,3314
Air Force Federal Credit Union,8169,8,77449451,3315
Shell Federal Credit Union,1941,8,99617,3316
Coastal Community & Teachers Credit Union,68482,8,0,3317
Granite Federal Credit Union,24726,8,105387907,3318
First National Bank of Layton,2260,8,250030,3319
Olympia Federal Savings & Loan Association,28599,8,462105,3320
Bank of Galesville,8693,8,687484,3321
Bank of Trempealeau,8693,8,687484,3322
Northwestern Bank,2468,8,355417,3323
Westby Co-op Credit Union,67208,8,194285086,3324
Partnership Bank,10007,8,206762,3325
Seven Bridges Bank,8693,8,687484,3326
NewAlliance Bank,18261,7,0,3327
Members 1st Credit Union,62677,7,0,3328
Pacific Mercantile Bank,34940,7,886764,3329
Americas Credit Union,67470,7,0,3330
Coventry Credit Union,66595,7,0,3331
GreenBank,895,7,0,3332
Gratz National Bank,14863,7,261311,3333
Buffalo Conrail Federal Credit Union,845,7,199717,3334
"First Arizona Savings, A FSB",32582,7,0,3335
San Mateo Credit Union,62736,7,0,3336
"Northern Trust Bank, National Association",24185,7,43892391,3337
Union First Market Bank,11579,7,0,3338
Greater Iowa Credit Union,64203,7,104335,3339
Bank of Carbon Hill,22271,7,239418,3340
Prosperity Bank,24963,7,0,3341
CBC Federal Credit Union,7608,7,1081300,3342
City & Police Federal Credit Union,24479,7,0,3343
First Independent Bank,1500,7,0,3344
First Reliance Bank,35214,7,288675,3345
First Service Bank,18519,7,204088,3346
First Financial Credit Union,68450,7,0,3347
First Utah Bank,22738,7,293627,3348
Mountain Valley Bank,58374,7,376213,3349
Metropolitan National Bank,20280,7,4692419,3350
Pacific Service Credit Union,68413,7,0,3351
Illiana Financial Credit Union,68425,7,0,3352
Farmers & Mechanics Bank,924,7,247032,3353
International Finance Bank,24823,7,267061,3354
Marshland Community Federal Credit Union,8323,7,12067,3355
Sharon Credit Union,67836,7,0,3356
"Eastern Savings Bank, FSB",32360,7,288720,3357
Mutual Savings Bank,27742,7,94666,3358
B-M S Federal Credit Union,9146,7,0,3359
United Community Bank,29620,7,437899,3360
Bank of Blue Valley,32722,7,452560,3361
First NBC Bank,58302,7,3428124,3362
Benchmark Federal Credit Union,3738,7,0,3363
"Chevy Chase Bank, FSB",32324,7,0,3364
Community West Credit Union,61677,7,0,3365
Alliant Bank,1946,7,126894,3366
Regional Missouri Bank,18385,7,175614,3367
"Anchor Bank Farmington, National Association",8868,7,1688179,3368
Premier Bank Rochester,33202,7,144316,3369
"Anchor Bank Saint Paul, National Association",8868,7,1688179,3370
Exchange State Bank,8212,7,1175599,3371
"First State Bank & Trust Company, Inc",14185,7,664380,3372
LifeStore Bank,31217,7,182445,3373
United Southeast Federal Credit Union,4714,7,0,3374
TriStar Bank,35417,7,202644,3375
Western Bank,2249,7,141233,3376
Bank of Nevada,33897,7,0,3377
"First Hope Bank, A National Banking Association",6354,7,394264,3378
State Savings Bank of Manistique,13249,7,90485,3379
Hantz Bank,35345,7,168305,3380
Central Bank,27234,7,1027193,3381
Bank of Elk River,1607,7,318816,3382
Central Bank of Kansas City,17009,7,128668,3383
Voyager Bank,8868,7,1688179,3384
"Anchor Bank, National Association",8868,7,1688179,3385
United Educators Credit Union,62964,7,0,3386
United Valley Bank,15478,7,206406,3387
Community Bank of Harrisonville,22867,7,170689,3388
Community Bank of Peculiar,22867,7,170689,3389
Community Bank of Archie,22867,7,170689,3390
Lyon County State Bank,14952,7,134335,3391
KALSEE Credit Union,61219,7,1169569000,3392
Gold Coast Federal Credit Union,967,7,0,3393
Cabrillo Credit Union,68409,7,0,3394
San Diego Metropolitan Credit Union,61003,7,17246612,3395
Santa Clara County Federal Credit Union,24299,7,0,3396
Citizens State Bank,9047,7,304902,3397
"Simsbury Bank & Trust Company, Inc",33999,7,333945,3398
Farmers State Bank,14209,7,568370,3399
Exchange Bank of Alabama,54,7,225145,3400
Cedar Point Federal Credit Union,5234,7,4712718,3401
United Bank & Trust Company,14247,7,124705,3402
State Bank of Texas,27074,7,563848,3403
Group Health Credit Union,66349,7,0,3404
F&M Bank & Trust Company,30595,7,79296,3405
Bank of Berry,22271,7,239418,3406
First National Bank,22271,7,239418,3407
State Bank of Colon,8323,7,12067,3408
"Alliance Bank, National Association",7237,7,6407984,3409
Co-Op Credit Union,66983,7,0,3410
CCAC Federal Credit Union,20989,7,470459,3411
Alliant Credit Union,64886,7,1086292000,3412
SAG-AFTRA Federal Credit Union,15317,7,0,3413
"Intercredit Bank, National Association",25258,7,254998,3414
Eastern National Bank,20026,7,322026,3415
Financial Plus Credit Union,61231,7,1086292000,3416
Four Seasons Federal Credit Union,16479,7,73020,3417
Robertson Banking Company,39,7,227760,3418
First National Bank of Talladega,2832,7,310314,3419
Alabama Teachers Credit Union,67252,7,2856241,3420
Fort McClellan Credit Union,61800,7,0,3421
Agriculture Federal Credit Union,16400,7,0,3422
District of Columbia Teachers Federal Credit Union,1821,7,43892391,3423
Library of Congress Federal Credit Union(duplicate,266,7,106184,3424
Harbor Community Bank,18149,7,1203395,3425
University Credit Union,67348,7,0,3426
First Financial Federal Credit Union,1021,7,0,3427
"Bank of Canton, The",90175,7,534233,3428
First Trust & Savings Bank,8752,7,122642,3429
Bank of Geneva,5775,7,160063,3430
FirsTier Bank,17478,7,204147,3431
First & Peoples Bank & Trust Company,8122,7,161768,3432
Ohio Valley Financial Group,13838,7,313389,3433
Citizens Savings Bank,30270,7,171080,3434
"Citizens Guaranty Bank, Inc",20872,7,120387,3435
American Spirit Federal Credit Union,15426,7,104960,3436
Grand Valley Co-Op Credit Union,62340,7,195636554,3437
CASE Credit Union,61908,7,0,3438
Hancock Bank & Trust Company,8128,7,230892,3439
Farmers & Merchants Bank,5716,7,526939,3440
Dover-Phila Federal Credit Union,8822,7,39315,3441
Village Bank,33761,7,169750,3442
Summit State Bank,32203,7,359405,3443
First National Bank of the Gulf Coast,58532,7,918407,3444
TrustBank,14662,7,152670,3445
Carolina Trust Federal Credit Union,12361,7,0,3446
"Gold Country Bank, National Association",26881,7,113172,3447
Rock River Bank,9079,7,195822,3448
Nevada First Bank,33897,7,0,3449
AFTRA-SAG Federal Credit Union,15317,7,0,3450
"Pioneer Community Bank, Inc",2448,7,99778,3451
Lake Shore Federal Credit Union,17878,7,68077,3452
Merrimack Valley Federal Credit Union,10066,7,0,3453
Aventa Credit Union,62755,7,0,3454
United Community Bank,13656,7,167953,3455
National Bank of Commerce,14266,7,417164,3456
Bank of Kirksville,1635,7,377469,3457
Hughes Federal Credit Union,7531,7,0,3458
Pyramid Federal Credit Union,24826,7,2814905,3459
Shore Community Bank,34253,7,198828,3460
Cape Bank,28395,7,1279729,3461
Franklin Bank,30402,7,216235,3462
Buffalo Postal Community Federal Credit Union,613,7,0,3463
Buffalo Community Federal Credit Union,613,7,0,3464
Texas Federal Credit Union,5497,7,1086292000,3465
Indus American Bank,57983,7,199066,3466
ALCO Federal Credit Union,8975,7,77527,3467
Putnam County National Bank of Carmel,6990,7,126459,3468
Cincinnati Ohio Police Federal Credit Union,389,7,47043,3469
RiverHills Bank,6662,7,106145,3470
Greater Cincinnati Credit Union,96722,7,0,3471
Community State Bank,20279,7,194654,3472
Yukon National Bank,4235,7,176247,3473
First National Bank & Trust of McAlester,4145,7,400972,3474
Merchants Bank of Bangor,7391,7,303756,3475
First Commonwealth Federal Credit Union,12765,7,0,3476
Embassy Bank for the Lehigh Valley,57228,7,620007,3477
Mars National Bank,7910,7,303081,3478
Mifflinburg Bank & Trust Company,10685,7,286224,3479
"Banco Bilbao Vizcaya Argentaria Puerto Rico, SA",19919,7,4755919,3480
Peoples Credit Union,65861,7,0,3481
Wave Federal Credit Union,24501,7,279550033,3482
Time Federal Savings Bank,29294,7,490591,3483
Landmark Community Bank,34982,7,607773,3484
Bank of Crockett,1468,7,120734,3485
Community Bank of East Tennessee,34847,7,176146,3486
Sevier County Bank,10318,7,294677,3487
Members Choice Credit Union,67508,7,0,3488
Southwestern National Bank,34319,7,286944,3489
North East Texas Credit Union,68432,7,0,3490
YOUR Community Credit Union,68606,7,0,3491
First National Bank of Bastrop,3091,7,422963,3492
Partners Financial Federal Credit Union,12456,7,0,3493
Community Bank,25752,7,185129,3494
Farmers & Miners Bank,22888,7,118062,3495
First National Bank of Bangor,5337,7,164962,3496
Park Bank,26218,7,744552,3497
Citizens State Bank,6194,7,134449,3498
First Exchange Bank,13020,7,178341,3499
Big Horn Federal Savings Bank,29637,7,196608,3500
First Cheyenne Federal Credit Union,402,7,53972437,3501
Bank of Louisiana,17878,7,68077,3502
Home Bank of Arkansas,5629,7,67132,3503
"Golden Pacific Bank, National Association",26881,7,113172,3504
Colombo Bank,31555,7,143750,3505
Clarity Credit Union,68295,7,0,3506
State Bank of Lincoln,12396,7,304656,3507
Jacksonville Savings Bank,28211,7,242684,3508
Your Community Bank,28915,7,1181715,3509
Eagle Bank,90191,7,371094,3510
Franklin Savings Bank,19836,7,241397,3511
West Michigan Community Bank,22308,7,230987,3512
Cross County Savings Bank,30260,7,339118,3513
Citizens Bank of Logan,18418,7,170616,3514
Gratz Bank,14863,7,261311,3515
Pagoda Federal Credit Union,15532,7,59688,3516
Huntingdon Valley Bank,30464,7,145510,3517
Virginia National Bank,34755,7,459717,3518
John Marshall Bank,58243,7,668015,3519
HomeTown Bank,58163,7,377345,3520
AltaPacific Bank,58275,7,244395,3521
Continental National Bank of Miami,21578,7,333507,3522
NXT Bank,16438,7,197575,3523
First National Bank in Olney,14567,7,268891,3524
First National Bank of La Grange,11306,7,492237,3525
IAB Financial Bank,16400,7,0,3526
AAC Credit Union,62217,7,0,3527
First Central Bank,25268,7,168057,3528
Glen Rock Savings Bank,28729,7,113907,3529
Habib American Bank,25093,7,749870,3530
Urban Upbound Federal Credit Union,24823,7,267061,3531
Sentinel Federal Credit Union,10257,7,17536974,3532
Southland Credit Union,68415,7,0,3533
Nutmeg State Financial Credit Union,68657,7,0,3534
Banco do Brasil Americas,26725,7,219244,3535
Coosa Valley Credit Union,68683,7,0,3536
Rose Hill Bank,13881,7,4692419,3537
Bank of Canton,90175,7,534233,3538
Manufacturers Bank & Trust Company,16307,7,240817,3539
NBKC Bank,35014,7,383157,3540
First Southern Bank,31158,7,171217,3541
Old Hickory Credit Union,67982,7,0,3542
Envision Bank,90270,7,309216,3543
First Peoples Bank of Tennessee,21874,7,120200,3544
EvaBank,26799,7,260618,3545
Santo Christo Federal Credit Union,9822,7,44154,3546
Bank of Plentywood,2224,7,344866,3547
Bank of Butte,2224,7,344866,3548
Aquesta Bank,58296,7,1090303,3549
"Citizens Bank of Logan, Ohio",18418,7,170616,3550
First Commercial Bank (USA),34496,7,376641,3551
ProAmerica Bank,57065,7,274155,3552
Neighborhood National Bank,18885,7,187772,3553
PrimeSouth Bank,5694,7,307989,3554
"Crystal Lake Bank & Trust Company, National Assoc",34681,7,715776,3555
Acadia Federal Credit Union,15619,7,1086292000,3556
Farmers State Bank,16116,7,95880,3557
Community 1st Bank Las Vegas,16854,7,115495,3558
"Somerset Savings Bank, SLA",28778,7,450465,3559
Teamsters Council 37 Federal Credit Union,14196,7,194285086,3560
Eagle One Federal Credit Union,464,7,17022609,3561
Salal Credit Union,66349,7,0,3562
Legacy Bank & Trust Company,22319,7,108646,3563
